p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.41772100754585,0.792,0.124,0,Stromal cells,POSTN
0,5.39869368093404,0.892,0.137,0,Stromal cells,COL6A3
0,5.37076520374853,0.955,0.262,0,Stromal cells,COL3A1
0,5.33333148313294,0.931,0.217,0,Stromal cells,COL1A2
0,5.30379503573301,0.947,0.336,0,Stromal cells,COL1A1
0,5.19309997337846,0.805,0.093,0,Stromal cells,DCN
0,5.1643759452421,0.589,0.04,0,Stromal cells,THBS2
0,5.07776996053035,0.756,0.075,0,Stromal cells,LUM
0,5.03946513623671,0.687,0.077,0,Stromal cells,SFRP2
0,4.81742333456844,0.729,0.077,0,Stromal cells,VCAN
0,4.65862523001085,0.296,0.025,0,Stromal cells,CILP
0,4.65453049182115,0.578,0.056,0,Stromal cells,COL14A1
0,4.63263270207918,0.406,0.016,0,Stromal cells,LAMA2
0,4.6284119458793,0.706,0.106,0,Stromal cells,AEBP1
0,4.61469465578114,0.644,0.068,0,Stromal cells,COL5A2
0,4.61434513658756,0.267,0.032,0,Stromal cells,THBS4
0,4.5847289412912,0.642,0.073,0,Stromal cells,COL5A1
0,4.57242080454408,0.619,0.07,0,Stromal cells,CCDC80
0,4.56685762627105,0.755,0.117,0,Stromal cells,C1S
0,4.5336302873605,0.804,0.214,0,Stromal cells,FN1
0,4.51926502050093,0.552,0.05,0,Stromal cells,CDH11
0,4.48507879369788,0.834,0.146,0,Stromal cells,COL6A1
0,4.47223693170156,0.53,0.051,0,Stromal cells,FBLN1
0,4.41271357993519,0.518,0.072,0,Stromal cells,CCN2
0,4.40334246990379,0.418,0.024,0,Stromal cells,PODN
0,4.37111772021647,0.297,0.012,0,Stromal cells,ADAM33
0,4.36210932521813,0.892,0.196,0,Stromal cells,COL6A2
0,4.33543304012237,0.628,0.078,0,Stromal cells,FBN1
0,4.3278527439917,0.545,0.082,0,Stromal cells,CTHRC1
0,4.3181916109364,0.415,0.029,0,Stromal cells,PDGFRA
0,4.29824189718206,0.658,0.108,0,Stromal cells,MMP2
0,4.27504962183399,0.442,0.038,0,Stromal cells,MXRA5
0,4.26950587442068,0.423,0.026,0,Stromal cells,FAP
0,4.25153317478511,0.436,0.028,0,Stromal cells,ADAM12
0,4.23169183690945,0.397,0.022,0,Stromal cells,ADAMTS12
0,4.19862254404587,0.32,0.015,0,Stromal cells,F2RL2
0,4.18887388598194,0.498,0.041,0,Stromal cells,FBLN2
0,4.15748964127029,0.272,0.013,0,Stromal cells,ABI3BP
0,4.15734273927844,0.663,0.124,0,Stromal cells,C1R
0,4.06591428348542,0.345,0.028,0,Stromal cells,ABCA6
0,4.0334833796681,0.331,0.029,0,Stromal cells,COL12A1
0,4.01359260586092,0.545,0.071,0,Stromal cells,EMILIN1
0,4.01084945490564,0.604,0.144,0,Stromal cells,TIMP3
0,3.97034760473262,0.631,0.103,0,Stromal cells,BGN
0,3.96940138626319,0.663,0.096,0,Stromal cells,FSTL1
0,3.94665256281331,0.562,0.152,0,Stromal cells,C3
0,3.94501216527082,0.393,0.049,0,Stromal cells,CRISPLD2
0,3.93419407680128,0.371,0.038,0,Stromal cells,ELN
0,3.89253560204958,0.307,0.018,0,Stromal cells,SRPX2
0,3.88237136319,0.276,0.018,0,Stromal cells,SVEP1
0,3.83981413331735,0.307,0.018,0,Stromal cells,MFAP4
0,3.83427226814252,0.408,0.042,0,Stromal cells,ISLR
0,3.813324745943,0.309,0.019,0,Stromal cells,HMCN1
0,3.79774579645357,0.265,0.038,0,Stromal cells,ABCA10
0,3.78933404780889,0.389,0.05,0,Stromal cells,SPON2
0,3.75732094937326,0.296,0.021,0,Stromal cells,CPXM1
0,3.74401338345321,0.428,0.034,0,Stromal cells,CD248
0,3.7218211304634,0.314,0.028,0,Stromal cells,GEM
0,3.71786979046236,0.263,0.017,0,Stromal cells,PLEKHH2
0,3.6881453034689,0.421,0.033,0,Stromal cells,PRRX1
0,3.65254107176722,0.494,0.065,0,Stromal cells,MXRA8
0,3.64887993134749,0.28,0.016,0,Stromal cells,PCDH18
0,3.64134838080205,0.306,0.029,0,Stromal cells,BOC
0,3.64105142039722,0.582,0.094,0,Stromal cells,CXCL12
0,3.63269588430118,0.324,0.043,0,Stromal cells,PAPLN
0,3.61607608054462,0.277,0.019,0,Stromal cells,TMEM119
0,3.6127485750542,0.334,0.026,0,Stromal cells,FBLN5
0,3.60313178927196,0.281,0.023,0,Stromal cells,SRPX
0,3.57202190784076,0.29,0.023,0,Stromal cells,MFAP2
0,3.53123866072326,0.273,0.019,0,Stromal cells,MMP19
0,3.51660999388842,0.501,0.043,0,Stromal cells,PDGFRB
0,3.4751055082448,0.254,0.042,0,Stromal cells,SERPINE1
0,3.44014700024191,0.411,0.095,0,Stromal cells,LOXL1
0,3.4325615610104,0.583,0.082,0,Stromal cells,LAMB1
0,3.42584644391114,0.475,0.063,0,Stromal cells,COL16A1
0,3.40647974451859,0.61,0.174,0,Stromal cells,CTSK
0,3.39410680651963,0.467,0.09,0,Stromal cells,PCOLCE
0,3.3699308660225,0.323,0.03,0,Stromal cells,ADAMTS2
0,3.30692699765886,0.637,0.191,0,Stromal cells,HTRA1
0,3.26888565919556,0.307,0.039,0,Stromal cells,DNM1
0,3.23957902948424,0.25,0.022,0,Stromal cells,CYP7B1
0,3.23195327981448,0.414,0.115,0,Stromal cells,CCN1
0,3.22143923231475,0.278,0.031,0,Stromal cells,GGT5
0,3.21322043273761,0.433,0.059,0,Stromal cells,THY1
0,3.21072274956336,0.272,0.03,0,Stromal cells,ANGPTL2
0,3.18739781835832,0.443,0.057,0,Stromal cells,NID1
0,3.1579790282667,0.317,0.059,0,Stromal cells,SH3PXD2B
0,3.15510202353672,0.44,0.078,0,Stromal cells,EFEMP1
0,3.15220885083248,0.288,0.028,0,Stromal cells,ADGRA2
0,3.11873757981518,0.29,0.036,0,Stromal cells,GLT8D2
0,3.02783308754276,0.298,0.072,0,Stromal cells,SNED1
0,3.00262855373895,0.64,0.169,0,Stromal cells,LRP1
0,2.98877339995245,0.563,0.175,0,Stromal cells,MMP14
0,2.98622964861586,0.272,0.033,0,Stromal cells,CFH
0,2.98046127953676,0.313,0.041,0,Stromal cells,EVC
0,2.97030961834627,0.711,0.251,0,Stromal cells,IGFBP4
0,2.9692540820808,0.786,0.233,0,Stromal cells,SPARC
0,2.94970120396558,0.46,0.095,0,Stromal cells,SERPING1
